Days of production;Pond Identifier;Temperature in the Morning;Temperature n the Afternoon;Temperature in the Evening;Feed per day (kg of shrimp feed);TAN ppm;Phosphate ppm;Phytoplankton cells/ml;;;;;;;;;;;;;;;
44;A1;30;31;30;24;;;;;;;;;;;;;;;;;;
45;A1;29;32;31;22;0,19;0,087;9.000;;;;;;;;;;;;;;;
46;A1;29;32;31;23;;;;;;;;;;;;;;;;;;
47;A1;30;32;31;24;;;;;;;;;;;;;;;;;;
48;A1;30;31;30;25;0,188;0,1;8.000;;;;;;;;;;;;;;;
49;A1;29;31;30;26;;;;;;;;;;;;;;;;;;
50;A1;29;31;30;24;;;;;;;;;;;;;;;;;;
51;A1;29;31;30;-;;;;;;;;;;;;;;;;;;
52;A1;29;31;30;24;0,262;0,076;12.000;;;;;;;;;;;;;;;
53;A1;29;30;30;25;;;;;;;;;;;;;;;;;;
54;A1;29;31;30;26;;;;;;;;;;;;;;;;;;
55;A1;30;32;31;27;0,158;0,111;13.500;;;;;;;;;;;;;;;
56;A1;30;32;31;28,5;;;;;;;;;;;;;;;;;;
57;A1;29;31;30;26;;;;;;;;;;;;;;;;;;
58;A1;29;31;30;26;;;;;;;;;;;;;;;;;;
59;A1;29;30;29;27;0,261;0,14;11.000;;;;;;;;;;;;;;;
60;A1;28;29;28;28;;;;;;;;;;;;;;;;;;
61;A1;27;30;29;28;;;;;;;;;;;;;;;;;;
62;A1;28;30;29;28;0,23;0,204;12.000;;;;;;;;;;;;;;;
63;A1;28;30;30;-;;;;;;;;;;;;;;;;;;
64;A1;29;31;30;28;;;;;;;;;;;;;;;;;;
65;A1;29;30;30;-;;;;;;;;;;;;;;;;;;
66;A1;29;31;30;30;0,315;0,139;9.500;;;;;;;;;;;;;;;
67;A1;29;31;30;-;;;;;;;;;;;;;;;;;;
68;A1;29;30;29;30;;;;;;;;;;;;;;;;;;
69;A1;27;29;29;30;0,552;0,219;11.500;;;;;;;;;;;;;;;
70;A1;28;30;30;28;;;;;;;;;;;;;;;;;;
71;A1;29;30;29;30;;;;;;;;;;;;;;;;;;
72;A1;28;30;29;-;;;;;;;;;;;;;;;;;;
73;A1;27;29;29;32;0,88;0,231;10.000;;;;;;;;;;;;;;;
74;A1;28;30;29;32;;;;;;;;;;;;;;;;;;
75;A1;28;30;29;34;;;;;;;;;;;;;;;;;;
76;A1;28;29;28;34;0,692;0,203;16.000;;;;;;;;;;;;;;;
77;A1;27;-;-;-;;;;;;;;;;;;;;;;;;
1;A2;29;30;29;3,5;;;;;;;;;;;;;;;;;;
2;A2;30;32;29;3,5;;;;;;;;;;;;;;;;;;
3;A2;29;32;31;4;0,979;0,072;2.500;;;;;;;;;;;;;;;
4;A2;30;32;31;4;;;;;;;;;;;;;;;;;;
5;A2;30;30;28;4,5;;;;;;;;;;;;;;;;;;
6;A2;27;27;27;4,5;1,065;0,018;3.000;;;;;;;;;;;;;;;
7;A2;26;30;29;5;;;;;;;;;;;;;;;;;;
8;A2;28;30;29;5;;;;;;;;;;;;;;;;;;
9;A2;29;29;29;6;;;;;;;;;;;;;;;;;;
10;A2;28;29;29;7;1,405;0,092;4.000;;;;;;;;;;;;;;;
11;A2;27;30;30;7,5;;;;;;;;;;;;;;;;;;
12;A2;29;30;29;8;;;;;;;;;;;;;;;;;;
13;A2;29;30;29;8,5;0,965;0,05;5.000;;;;;;;;;;;;;;;
14;A2;29;30;30;9;;;;;;;;;;;;;;;;;;
15;A2;29;31;31;9,5;;;;;;;;;;;;;;;;;;
16;A2;29;32;31;10;;;;;;;;;;;;;;;;;;
17;A2;30;32;31;10,5;0,813;0,059;4.000;;;;;;;;;;;;;;;
18;A2;29;30;29;11;;;;;;;;;;;;;;;;;;
19;A2;30;31;30;11,5;;;;;;;;;;;;;;;;;;
20;A2;29;31;30;12;0,308;0,079;5.000;;;;;;;;;;;;;;;
21;A2;29;31;30;12,5;;;;;;;;;;;;;;;;;;
22;A2;28;31;31;14;;;;;;;;;;;;;;;;;;
23;A2;30;32;31;18;;;;;;;;;;;;;;;;;;
24;A2;30;30;30;19;0,113;0,138;8.500;;;;;;;;;;;;;;;
25;A2;29;32;31;20,5;;;;;;;;;;;;;;;;;;
26;A2;29;32;32;21,5;;;;;;;;;;;;;;;;;;
27;A2;30;32;31;23;0,181;0,052;8.000;;;;;;;;;;;;;;;
28;A2;30;31;31;24;;;;;;;;;;;;;;;;;;
29;A2;29;31;31;25,5;;;;;;;;;;;;;;;;;;
30;A2;29;31;30;26,5;;;;;;;;;;;;;;;;;;
31;A2;29;30;29;26,5;0,231;0,139;6.500;;;;;;;;;;;;;;;
32;A2;28;31;30;-;;;;;;;;;;;;;;;;;;
33;A2;29;32;30;22;;;;;;;;;;;;;;;;;;
34;A2;29;32;30;23;0,293;0,147;5.500;;;;;;;;;;;;;;;
35;A2;29;31;30;24;;;;;;;;;;;;;;;;;;
36;A2;29;32;31;24;;;;;;;;;;;;;;;;;;
37;A2;29;32;31;25;;;;;;;;;;;;;;;;;;
38;A2;29;30;30;26;0,141;0,157;7.500;;;;;;;;;;;;;;;
39;A2;29;31;30;28;;;;;;;;;;;;;;;;;;
40;A2;29;31;30;29;;;;;;;;;;;;;;;;;;
41;A2;29;32;30;30;0,212;0,17;8.500;;;;;;;;;;;;;;;
42;A2;29;32;31;-;;;;;;;;;;;;;;;;;;
43;A2;29;31;30;-;;;;;;;;;;;;;;;;;;
44;A2;30;31;30;31;;;;;;;;;;;;;;;;;;
45;A2;29;32;31;30;0,318;0,099;10.000;;;;;;;;;;;;;;;
46;A2;29;32;31;34;;;;;;;;;;;;;;;;;;
47;A2;30;32;31;35;;;;;;;;;;;;;;;;;;
48;A2;30;31;30;36;0,211;0,097;9.500;;;;;;;;;;;;;;;
49;A2;29;31;30;36;;;;;;;;;;;;;;;;;;
50;A2;29;31;30;24;;;;;;;;;;;;;;;;;;
51;A2;29;31;30;-;;;;;;;;;;;;;;;;;;
52;A2;29;31;30;30;0,425;0,112;11.000;;;;;;;;;;;;;;;
53;A2;29;30;30;31;;;;;;;;;;;;;;;;;;
54;A2;29;31;30;33;;;;;;;;;;;;;;;;;;
55;A2;30;32;31;35;0,26;0,156;11.000;;;;;;;;;;;;;;;
56;A2;30;32;31;37,5;;;;;;;;;;;;;;;;;;
57;A2;29;31;30;40;;;;;;;;;;;;;;;;;;
58;A2;29;31;30;42;;;;;;;;;;;;;;;;;;
59;A2;29;30;29;44;0,315;0,239;10.500;;;;;;;;;;;;;;;
60;A2;28;29;28;45;;;;;;;;;;;;;;;;;;
61;A2;27;30;29;45;;;;;;;;;;;;;;;;;;
62;A2;28;30;29;40;0,678;0,23;10.000;;;;;;;;;;;;;;;
63;A2;28;30;30;40;;;;;;;;;;;;;;;;;;
64;A2;29;31;30;40;;;;;;;;;;;;;;;;;;
65;A2;29;30;30;-;;;;;;;;;;;;;;;;;;
66;A2;29;31;30;44;0,715;0,35;7.000;;;;;;;;;;;;;;;
67;A2;29;31;30;40;;;;;;;;;;;;;;;;;;
68;A2;28;29;29;40;;;;;;;;;;;;;;;;;;
69;A2;27;29;29;40;0,71;0,268;12.500;;;;;;;;;;;;;;;
70;A2;28;30;30;42;;;;;;;;;;;;;;;;;;
71;A2;28;29;29;46;;;;;;;;;;;;;;;;;;
72;A2;28;30;29;-;;;;;;;;;;;;;;;;;;
73;A2;27;29;29;50;1,788;0,336;15.000;;;;;;;;;;;;;;;
74;A2;28;30;29;52;;;;;;;;;;;;;;;;;;
75;A2;28;30;29;54;;;;;;;;;;;;;;;;;;
76;A2;28;29;28;54;1,368;0,28;19.000;;;;;;;;;;;;;;;
77;A2;28;29;29;5;;;;;;;;;;;;;;;;;;
78;A2;28;30;29;40;;;;;;;;;;;;;;;;;;
79;A2;28;30;29;44;;;;;;;;;;;;;;;;;;
80;A2;29;30;29;34;1,216;0,461;17.500;;;;;;;;;;;;;;;
81;A2;28;29;29;30;;;;;;;;;;;;;;;;;;
82;A2;28;30;30;30;;;;;;;;;;;;;;;;;;
83;A2;28;30;29;30;1,781;0,304;14.500;;;;;;;;;;;;;;;
84;A2;28;30;30;30;;;;;;;;;;;;;;;;;;
85;A2;29;30;30;30;;;;;;;;;;;;;;;;;;
86;A2;29;31;30;-;;;;;;;;;;;;;;;;;;
87;A2;29;30;29;32;1,681;0,313;14.500;;;;;;;;;;;;;;;
88;A2;28;28;28;32;;;;;;;;;;;;;;;;;;
89;A2;27;29;28;32;;;;;;;;;;;;;;;;;;
90;A2;27;28;28;34;2,774;0,306;16.000;;;;;;;;;;;;;;;
91;A2;27;29;29;34;;;;;;;;;;;;;;;;;;
92;A2;28;29;29;34;;;;;;;;;;;;;;;;;;
93;A2;28;28;28;34;;;;;;;;;;;;;;;;;;
94;A2;27;29;28;34;;;;;;;;;;;;;;;;;;
1;A3;29;30;30;3,5;;;;;;;;;;;;;;;;;;
2;A3;30;32;29;3,5;;;;;;;;;;;;;;;;;;
3;A3;29;32;31;4;0,562;0,026;2.500;;;;;;;;;;;;;;;
4;A3;30;32;31;4;;;;;;;;;;;;;;;;;;
5;A3;30;30;28;4,5;;;;;;;;;;;;;;;;;;
6;A3;27;27;27;4,5;0,576;0,031;2.500;;;;;;;;;;;;;;;
7;A3;26;29;29;5;;;;;;;;;;;;;;;;;;
8;A3;28;30;29;5;;;;;;;;;;;;;;;;;;
9;A3;28;29;29;6;;;;;;;;;;;;;;;;;;
10;A3;28;29;28;7;0,676;0,047;3.500;;;;;;;;;;;;;;;
11;A3;28;30;29;7,5;;;;;;;;;;;;;;;;;;
12;A3;29;30;29;8;;;;;;;;;;;;;;;;;;
13;A3;29;31;29;8,5;1,044;0,101;3.500;;;;;;;;;;;;;;;
14;A3;28;30;30;9;;;;;;;;;;;;;;;;;;
15;A3;29;30;30;9,5;;;;;;;;;;;;;;;;;;
16;A3;30;32;31;10;;;;;;;;;;;;;;;;;;
17;A3;29;32;30;10,5;1,307;0,111;3.500;;;;;;;;;;;;;;;
18;A3;29;30;29;11;;;;;;;;;;;;;;;;;;
19;A3;30;31;30;11,5;;;;;;;;;;;;;;;;;;
20;A3;29;31;30;12;0,462;0,127;6.000;;;;;;;;;;;;;;;
21;A3;29;31;30;12,5;;;;;;;;;;;;;;;;;;
22;A3;29;31;30;14;;;;;;;;;;;;;;;;;;
23;A3;30;32;31;18;;;;;;;;;;;;;;;;;;
24;A3;30;30;30;19;0,304;0,188;8.500;;;;;;;;;;;;;;;
25;A3;29;32;31;20,5;;;;;;;;;;;;;;;;;;
26;A3;29;32;31;21,5;;;;;;;;;;;;;;;;;;
27;A3;31;32;31;23;0,114;0,066;12.500;;;;;;;;;;;;;;;
28;A3;30;31;30;24;;;;;;;;;;;;;;;;;;
29;A3;30;31;31;25,5;;;;;;;;;;;;;;;;;;
30;A3;30;31;29;26,5;;;;;;;;;;;;;;;;;;
31;A3;29;30;29;26,5;0,2;0,161;11.500;;;;;;;;;;;;;;;
32;A3;28;31;30;-;;;;;;;;;;;;;;;;;;
33;A3;29;32;30;24;;;;;;;;;;;;;;;;;;
34;A3;29;31;30;24;0,198;0,159;10.000;;;;;;;;;;;;;;;
35;A3;29;31;30;26;;;;;;;;;;;;;;;;;;
36;A3;29;32;30;27;;;;;;;;;;;;;;;;;;
37;A3;29;32;31;29;;;;;;;;;;;;;;;;;;
38;A3;29;31;30;30;0,672;0,177;6.500;;;;;;;;;;;;;;;
39;A3;28;31;29;31;;;;;;;;;;;;;;;;;;
40;A3;29;31;30;32;;;;;;;;;;;;;;;;;;
41;A3;29;32;30;33;1,107;0,209;11.500;;;;;;;;;;;;;;;
42;A3;29;32;31;-;;;;;;;;;;;;;;;;;;
43;A3;29;31;30;-;;;;;;;;;;;;;;;;;;
44;A3;30;31;31;36;;;;;;;;;;;;;;;;;;
45;A3;30;32;31;33;0,879;0,153;10.000;;;;;;;;;;;;;;;
46;A3;30;32;31;35;;;;;;;;;;;;;;;;;;
47;A3;30;32;31;36;;;;;;;;;;;;;;;;;;
48;A3;30;31;30;37;0,825;0,172;11.000;;;;;;;;;;;;;;;
49;A3;29;31;30;38;;;;;;;;;;;;;;;;;;
50;A3;29;31;30;38;;;;;;;;;;;;;;;;;;
51;A3;29;31;30;-;;;;;;;;;;;;;;;;;;
52;A3;29;31;30;40;0,818;0,248;11.000;;;;;;;;;;;;;;;
53;A3;29;30;30;42;;;;;;;;;;;;;;;;;;
54;A3;29;31;30;44;;;;;;;;;;;;;;;;;;
55;A3;29;32;31;46;0,534;0,168;11.500;;;;;;;;;;;;;;;
56;A3;30;31;31;48,5;;;;;;;;;;;;;;;;;;
57;A3;29;31;30;45;;;;;;;;;;;;;;;;;;
58;A3;29;31;30;42;;;;;;;;;;;;;;;;;;
59;A3;29;30;29;42;0,456;0,222;9.500;;;;;;;;;;;;;;;
60;A3;28;29;28;44;;;;;;;;;;;;;;;;;;
61;A3;27;30;29;44;;;;;;;;;;;;;;;;;;
62;A3;28;30;29;48;0,634;0,224;10.000;;;;;;;;;;;;;;;
63;A3;28;30;30;44;;;;;;;;;;;;;;;;;;
64;A3;29;30;30;44;;;;;;;;;;;;;;;;;;
65;A3;29;30;30;-;;;;;;;;;;;;;;;;;;
66;A3;29;30;30;48;0,518;0,139;8.500;;;;;;;;;;;;;;;
67;A3;28;31;30;48;;;;;;;;;;;;;;;;;;
68;A3;29;29;29;48;;;;;;;;;;;;;;;;;;
69;A3;27;29;29;48;0,851;0,239;13.000;;;;;;;;;;;;;;;
70;A3;28;30;29;50;;;;;;;;;;;;;;;;;;
71;A3;29;29;29;52;;;;;;;;;;;;;;;;;;
72;A3;28;29;28;-;;;;;;;;;;;;;;;;;;
73;A3;27;29;29;56;2,226;0,337;9.000;;;;;;;;;;;;;;;
74;A3;28;30;29;58;;;;;;;;;;;;;;;;;;
75;A3;28;30;29;60;;;;;;;;;;;;;;;;;;
76;A3;28;29;28;60;1,909;0,296;17.500;;;;;;;;;;;;;;;
77;A3;28;-;-;5;;;;;;;;;;;;;;;;;;
1;A4;29;30;30;3,5;;;;;;;;;;;;;;;;;;
2;A4;30;32;29;3,5;;;;;;;;;;;;;;;;;;
3;A4;30;32;31;4;0,961;0,093;3.000;;;;;;;;;;;;;;;
4;A4;30;32;31;4;;;;;;;;;;;;;;;;;;
5;A4;30;30;27;4,5;;;;;;;;;;;;;;;;;;
6;A4;27;27;27;4,5;1,011;0,046;3.500;;;;;;;;;;;;;;;
7;A4;26;30;29;5;;;;;;;;;;;;;;;;;;
8;A4;28;30;29;5;;;;;;;;;;;;;;;;;;
9;A4;29;29;29;6;;;;;;;;;;;;;;;;;;
10;A4;28;29;28;7;0,304;0,029;4.000;;;;;;;;;;;;;;;
11;A4;27;30;29;7,5;;;;;;;;;;;;;;;;;;
12;A4;29;30;30;8;;;;;;;;;;;;;;;;;;
13;A4;29;30;29;8,5;0,322;0,036;3.500;;;;;;;;;;;;;;;
14;A4;29;30;30;9;;;;;;;;;;;;;;;;;;
15;A4;29;31;30;9,5;;;;;;;;;;;;;;;;;;
16;A4;30;32;30;10;;;;;;;;;;;;;;;;;;
17;A4;29;32;31;10,5;0,58;0,058;4.000;;;;;;;;;;;;;;;
18;A4;29;30;30;11;;;;;;;;;;;;;;;;;;
19;A4;29;30;30;11,5;;;;;;;;;;;;;;;;;;
20;A4;29;31;30;12;0,131;0,113;7.500;;;;;;;;;;;;;;;
21;A4;29;31;29;12,5;;;;;;;;;;;;;;;;;;
22;A4;28;31;30;14;;;;;;;;;;;;;;;;;;
23;A4;29;32;31;18;;;;;;;;;;;;;;;;;;
24;A4;30;30;30;19;1,418;0,208;6.000;;;;;;;;;;;;;;;
25;A4;29;31;31;20,5;;;;;;;;;;;;;;;;;;
26;A4;29;32;31;21,5;;;;;;;;;;;;;;;;;;
27;A4;30;32;30;23;1,045;0,121;6.500;;;;;;;;;;;;;;;
28;A4;29;31;31;24;;;;;;;;;;;;;;;;;;
29;A4;30;31;30;25,5;;;;;;;;;;;;;;;;;;
30;A4;30;31;30;26,5;;;;;;;;;;;;;;;;;;
31;A4;28;29;29;25;1,001;0,223;6.500;;;;;;;;;;;;;;;
32;A4;29;31;30;-;;;;;;;;;;;;;;;;;;
33;A4;29;31;30;22;;;;;;;;;;;;;;;;;;
34;A4;29;31;29;24;0,445;0,137;9.500;;;;;;;;;;;;;;;
35;A4;28;31;29;26;;;;;;;;;;;;;;;;;;
36;A4;29;32;31;27;;;;;;;;;;;;;;;;;;
37;A4;29;32;31;29;;;;;;;;;;;;;;;;;;
38;A4;29;30;29;30;0,688;0,254;7.000;;;;;;;;;;;;;;;
39;A4;28;31;30;31;;;;;;;;;;;;;;;;;;
40;A4;28;31;30;32;;;;;;;;;;;;;;;;;;
41;A4;29;31;30;33;0,97;0,286;10.000;;;;;;;;;;;;;;;
42;A4;29;31;31;-;;;;;;;;;;;;;;;;;;
43;A4;29;31;30;-;;;;;;;;;;;;;;;;;;
44;A4;30;31;31;22;;;;;;;;;;;;;;;;;;
45;A4;29;32;31;33;0,642;0,201;13.500;;;;;;;;;;;;;;;
46;A4;29;32;31;35;;;;;;;;;;;;;;;;;;
47;A4;30;32;31;36;;;;;;;;;;;;;;;;;;
48;A4;30;31;30;37;0,229;0,103;13.000;;;;;;;;;;;;;;;
49;A4;29;31;30;38;;;;;;;;;;;;;;;;;;
50;A4;28;31;29;8;;;;;;;;;;;;;;;;;;
51;A4;28;31;30;-;;;;;;;;;;;;;;;;;;
52;A4;29;31;31;34;0,991;0,209;7.500;;;;;;;;;;;;;;;
53;A4;29;30;30;39;;;;;;;;;;;;;;;;;;
54;A4;29;31;30;38;;;;;;;;;;;;;;;;;;
55;A4;30;31;31;40;0,552;0,214;12.500;;;;;;;;;;;;;;;
56;A4;30;31;31;42;;;;;;;;;;;;;;;;;;
57;A4;29;31;30;36;;;;;;;;;;;;;;;;;;
58;A4;29;31;30;38;;;;;;;;;;;;;;;;;;
59;A4;29;30;29;42;0,415;0,226;10.500;;;;;;;;;;;;;;;
60;A4;28;28;28;44;;;;;;;;;;;;;;;;;;
61;A4;27;29;29;44;;;;;;;;;;;;;;;;;;
62;A4;28;30;29;44;0,714;0,337;13.500;;;;;;;;;;;;;;;
63;A4;28;30;29;44;;;;;;;;;;;;;;;;;;
64;A4;29;30;30;44;;;;;;;;;;;;;;;;;;
65;A4;29;30;29;-;;;;;;;;;;;;;;;;;;
66;A4;28;30;30;46;0,847;0,461;10.500;;;;;;;;;;;;;;;
67;A4;28;31;30;44;;;;;;;;;;;;;;;;;;
68;A4;28;29;29;44;;;;;;;;;;;;;;;;;;
69;A4;27;29;29;44;1,358;0,461;13.500;;;;;;;;;;;;;;;
70;A4;28;30;30;46;;;;;;;;;;;;;;;;;;
71;A4;28;30;29;48;;;;;;;;;;;;;;;;;;
72;A4;28;30;29;-;;;;;;;;;;;;;;;;;;
73;A4;27;29;29;50;1,315;0,553;10.000;;;;;;;;;;;;;;;
74;A4;28;30;30;52;;;;;;;;;;;;;;;;;;
75;A4;28;30;29;56;;;;;;;;;;;;;;;;;;
76;A4;28;29;28;56;1,661;0,441;21.500;;;;;;;;;;;;;;;
77;A4;27;29;29;5;;;;;;;;;;;;;;;;;;
78;A4;28;30;29;42;;;;;;;;;;;;;;;;;;
79;A4;28;30;29;42;;;;;;;;;;;;;;;;;;
80;A4;29;30;29;34;1,725;0,579;17.200;;;;;;;;;;;;;;;
81;A4;28;29;29;22;;;;;;;;;;;;;;;;;;
82;A4;28;30;30;22;;;;;;;;;;;;;;;;;;
83;A4;29;30;30;22;1,621;0,451;12.000;;;;;;;;;;;;;;;
84;A4;28;30;29;22;;;;;;;;;;;;;;;;;;
85;A4;29;30;30;22;;;;;;;;;;;;;;;;;;
86;A4;29;31;30;-;;;;;;;;;;;;;;;;;;
87;A4;29;30;29;24;1,777;0,581;14.000;;;;;;;;;;;;;;;
88;A4;28;28;28;24;;;;;;;;;;;;;;;;;;
89;A4;27;29;28;24;;;;;;;;;;;;;;;;;;
90;A4;27;28;27;26;2,694;0,334;17.500;;;;;;;;;;;;;;;
91;A4;27;29;28;26;;;;;;;;;;;;;;;;;;
92;A4;27;29;29;26;;;;;;;;;;;;;;;;;;
93;A4;28;28;28;26;;;;;;;;;;;;;;;;;;
94;A4;27;28;28;26;;;;;;;;;;;;;;;;;;
1;A5;29;30;30;3,5;;;;;;;;;;;;;;;;;;
2;A5;30;32;29;3,5;;;;;;;;;;;;;;;;;;
3;A5;30;32;31;4;0,913;0,063;2.500;;;;;;;;;;;;;;;
4;A5;29;32;31;4;;;;;;;;;;;;;;;;;;
5;A5;30;30;28;4,5;;;;;;;;;;;;;;;;;;
6;A5;27;27;27;4,5;1,102;0,123;3.000;;;;;;;;;;;;;;;
7;A5;26;30;29;5;;;;;;;;;;;;;;;;;;
8;A5;29;31;29;5;;;;;;;;;;;;;;;;;;
9;A5;28;29;29;6;;;;;;;;;;;;;;;;;;
10;A5;28;29;28;7;1,476;0,138;4.000;;;;;;;;;;;;;;;
11;A5;27;30;29;7,5;;;;;;;;;;;;;;;;;;
12;A5;29;30;30;8;;;;;;;;;;;;;;;;;;
13;A5;29;30;29;8,5;1,58;0,146;3.000;;;;;;;;;;;;;;;
14;A5;28;30;30;9;;;;;;;;;;;;;;;;;;
15;A5;28;31;31;9,5;;;;;;;;;;;;;;;;;;
16;A5;29;31;31;10;;;;;;;;;;;;;;;;;;
17;A5;30;32;31;10,5;1,113;0,163;5.000;;;;;;;;;;;;;;;
18;A5;29;30;30;11;;;;;;;;;;;;;;;;;;
19;A5;30;30;30;11,5;;;;;;;;;;;;;;;;;;
20;A5;29;31;30;12;0,684;0,157;5.000;;;;;;;;;;;;;;;
21;A5;29;30;30;12,5;;;;;;;;;;;;;;;;;;
22;A5;29;31;31;13,5;;;;;;;;;;;;;;;;;;
23;A5;29;32;31;18;;;;;;;;;;;;;;;;;;
24;A5;30;30;30;19;1,418;0,109;5.500;;;;;;;;;;;;;;;
25;A5;29;31;31;20,5;;;;;;;;;;;;;;;;;;
26;A5;29;32;32;21,5;;;;;;;;;;;;;;;;;;
27;A5;30;32;31;23;0,706;0,17;6.000;;;;;;;;;;;;;;;
28;A5;30;31;30;24;;;;;;;;;;;;;;;;;;
29;A5;29;31;31;25,5;;;;;;;;;;;;;;;;;;
30;A5;29;31;30;26,5;;;;;;;;;;;;;;;;;;
31;A5;28;29;29;25;0,816;0,097;5.500;;;;;;;;;;;;;;;
32;A5;29;30;30;-;;;;;;;;;;;;;;;;;;
33;A5;29;31;30;22;;;;;;;;;;;;;;;;;;
34;A5;29;31;30;22;0,283;0,202;13.000;;;;;;;;;;;;;;;
35;A5;28;30;30;21;;;;;;;;;;;;;;;;;;
36;A5;29;32;31;22;;;;;;;;;;;;;;;;;;
37;A5;29;32;31;23;;;;;;;;;;;;;;;;;;
38;A5;29;30;30;23;0,793;0,244;8.000;;;;;;;;;;;;;;;
39;A5;29;31;30;20;;;;;;;;;;;;;;;;;;
40;A5;29;31;30;20;;;;;;;;;;;;;;;;;;
41;A5;29;31;30;22;0,234;0,161;10.500;;;;;;;;;;;;;;;
42;A5;29;31;31;-;;;;;;;;;;;;;;;;;;
43;A5;29;31;30;-;;;;;;;;;;;;;;;;;;
44;A5;30;31;30;12;;;;;;;;;;;;;;;;;;
45;A5;29;32;31;22;0,173;0,113;10.000;;;;;;;;;;;;;;;
46;A5;29;31;31;23;;;;;;;;;;;;;;;;;;
47;A5;30;32;31;24;;;;;;;;;;;;;;;;;;
48;A5;30;31;30;25;0,49;0,129;10.500;;;;;;;;;;;;;;;
49;A5;29;31;30;20;;;;;;;;;;;;;;;;;;
50;A5;29;31;30;8;;;;;;;;;;;;;;;;;;
51;A5;29;31;30;-;;;;;;;;;;;;;;;;;;
52;A5;29;31;31;24;0,377;0,126;10.000;;;;;;;;;;;;;;;
53;A5;29;30;30;29;;;;;;;;;;;;;;;;;;
54;A5;29;31;30;26;;;;;;;;;;;;;;;;;;
55;A5;30;31;31;27;0,246;0,121;12.500;;;;;;;;;;;;;;;
56;A5;30;31;31;28,5;;;;;;;;;;;;;;;;;;
57;A5;29;31;30;24;;;;;;;;;;;;;;;;;;
58;A5;29;31;30;24;;;;;;;;;;;;;;;;;;
59;A5;29;30;29;24;0,26;0,262;12.000;;;;;;;;;;;;;;;
60;A5;28;28;28;26;;;;;;;;;;;;;;;;;;
61;A5;27;29;29;26;;;;;;;;;;;;;;;;;;
62;A5;28;30;29;28;0,711;0,286;12.500;;;;;;;;;;;;;;;
63;A5;28;30;30;28;;;;;;;;;;;;;;;;;;
64;A5;29;30;30;28;;;;;;;;;;;;;;;;;;
